code;number;edition;character;series;quality;obtainedDate;obtainedTimestamp;burnValue;dye.code;dye.name;frame;morphed;trimmed;tag;alias;wishlists;fights;dropQuality;dropper;grabber;guild;worker.effort;worker.style;worker.purity;worker.grabber;worker.dropper;worker.quickness;worker.toughness;worker.vanity;worker.recoveryDate;worker.recoveryTimestamp
vv8zrtw;19912;1;Kefla;Dragon Ball Super;4;Sun, 30 Apr 2023 08:02:19 GMT;1,68284E+12;140;;;;No;No;;;38;0;4;7,32966E+17;7,32966E+17;7,17031E+17;76;F;S;S;S;A;F;D;;
vv81kvc;7264;4;Martin Reest;Monster;2;Sun, 30 Apr 2023 07:15:26 GMT;1,68284E+12;23;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;14;F;S;S;S;A;F;D;;
vv8zb2n;52410;1;Misato Kurihara;Didn't I Say to Make My Abilities Average in the Next Life?!;1;Sun, 30 Apr 2023 05:57:27 GMT;1,68283E+12;4;;;;No;No;;;1;0;1;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;A;F;D;;
vv8jxc2;52409;1;Riri;Kemurikusa;3;Sun, 30 Apr 2023 05:03:49 GMT;1,68283E+12;6;;;;No;No;;;0;0;3;7,32966E+17;7,32966E+17;7,17031E+17;4;F;S;S;S;F;F;D;;
vv8jxch;52245;1;Kazumi Asakura;Negima!;4;Sun, 30 Apr 2023 05:03:46 GMT;1,68283E+12;22;;;;No;No;;;0;0;4;7,32966E+17;7,32966E+17;7,17031E+17;13;F;S;S;S;C;F;D;;
vv8jxcq;52349;1;Hiraga;Nobunaga the Fool;2;Sun, 30 Apr 2023 05:03:41 GMT;1,68283E+12;3;;;;No;No;;;0;0;2;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;A;F;D;;
vv85xp0;6764;4;Hitagi Senjogahara;Bakemonogatari;1;Sun, 30 Apr 2023 02:51:48 GMT;1,68282E+12;41;;;;No;No;;;524;14;1;7,32966E+17;7,32966E+17;6,48032E+17;26;F;S;S;S;S;S;D;;
vv85zg0;13151;2;Eremiya;Fire Emblem: New Mystery of the Emblem;1;Sun, 30 Apr 2023 02:18:45 GMT;1,68282E+12;15;;;;No;No;;;1;0;1;7,32966E+17;7,32966E+17;7,17031E+17;6;F;S;S;S;B;F;D;;
vv8bkpn;15062;1;Tatsuhiko Shibusawa;Bungou Stray Dogs Movie: Dead Apple;2;Sun, 30 Apr 2023 01:47:46 GMT;1,68282E+12;21;;;;No;No;;;9;2;2;8,95848E+17;7,32966E+17;6,48032E+17;13;F;S;S;F;S;C;D;;
vv8wf3g;1330;5;Pingu;Pingu in the City;1;Sat, 29 Apr 2023 23:24:16 GMT;1,68281E+12;46;;;;No;No;;;469;0;1;7,32966E+17;7,32966E+17;7,57946E+17;25;F;S;S;S;A;F;D;;
