"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vqzvplj","54601","1","Shiori Miyazaki","Chihayafuru 2","4","Sat, 15 Jul 2023 13:34:06 GMT","1689428046640","8","","","","No","No","","","0","0","4","732966109916954677","732966109916954677","717030509405929503","4","F","S","S","S","S","F","D","",""
"vqzvpqv","31399","2","Shu Aozaki","Durarara!! X2","2","Sat, 15 Jul 2023 12:49:28 GMT","1689425368570","16","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","8","F","S","S","S","A","F","D","",""
"vqzvx7d","8400","4","Freddie","Gundam Build Divers Re:RISE","3","Sat, 15 Jul 2023 12:13:32 GMT","1689423212614","48","","","","No","No","","","1","1","3","732966109916954677","732966109916954677","717030509405929503","26","F","S","S","S","A","D","D","",""
"vq1dkss","54287","1","Sayuri Shinomiya","Sakura Quest","0","Sat, 15 Jul 2023 03:49:25 GMT","1689392965046","1","","","","No","No","","","1","0","0","732966109916954677","732966109916954677","717030509405929503","0","F","S","S","S","A","F","D","",""
"ld1xcr","1232","4","Sukuna","Jujutsu Kaisen","4","Sat, 15 Jul 2023 01:15:57 GMT","1689383757090","364","","","","Yes","No","reku","","4648","0","3","578681854182424596","578681854182424596","717030509405929503","206","F","A","F","F","B","F","A","",""
"48x0lx","3048","3","Diona","Genshin Impact","4","Sat, 15 Jul 2023 01:15:57 GMT","1689383757090","345","","","","No","No","reku","","151","0","4","578681854182424596","578681854182424596","717030509405929503","205","F","S","F","F","A","F","A","",""
"flmm3h","14005","2","Rimuru Tempest","That Time I Got Reincarnated as a Slime","4","Sat, 15 Jul 2023 01:15:57 GMT","1689383757089","347","","","volcanic","Yes","No","reku","","2592","0","1","578681854182424596","578681854182424596","717030509405929503","233","B","C","F","F","S","F","D","",""
"f2xttd","159","2","Bojji","Ousama Ranking","4","Sat, 15 Jul 2023 01:15:57 GMT","1689383757089","297","","","abandonedchurch","Yes","No","reku","","717","0","2","519158781091905549","519158781091905549","797211775825215499","240","B","B","F","F","A","F","A","",""
"vq182wz","479","1","Tanba","The Alchemist Code","2","Sat, 15 Jul 2023 01:12:30 GMT","1689383550319","47","","","","No","No","","","0","0","2","578681854182424596","732966109916954677","717030509405929503","23","F","S","S","F","F","F","D","",""
"vq1lc1g","54672","1","Kenta Fujiwara","Grand Blue","4","Sat, 15 Jul 2023 01:00:31 GMT","1689382831379","8","","","","No","No","","","1","0","4","732966109916954677","732966109916954677","717030509405929503","4","F","S","S","S","A","F","D","",""
